B1_DESC;B1_DESC;Equivalencia;Cantidad;Cantidad Comprobantes;Cant Clientes;80/20;Meses Vendidos ;"Peso (Kg) 
(producto+empaque)";"Ancho (mm)
(producto+empaque)";"Largo(mm)
(producto+empaque)";"Alto(mm)
(producto+empaque)";Clasificacion CD
ROD2200SKF;2200 E-2RS1TN9;100;123;9;4;0,01%;8;0,0515;23;45;47;BC1
ROD2201SKF2;2201 ETN9;110;35;11;3;0,00%;8;0,0545;23;45;47;CD2
ROD2202SKF2;2202 ETN9;200;22;10;5;0,00%;6;0,0591;23;45;47;CC1
ROD2203SKF2;2203 ETN9;300;2;2;2;0,00%;1;0,0910;23;60;62;CD2
ROD2204SKF3;2204 ETN9;400;39;18;7;0,00%;12;0,1360;23;60;62;CD1
ROD2205SKF6;2205 ETN9;500;67;27;20;0,00%;17;0,1555;29;65;67;CC1
ROD2205SKF7;2205 ETN9/C3;500;17;2;2;0,00%;2;0,1542;29;65;67;CD2
ROD2206SKF6;2206 ETN9;600;138;44;24;0,01%;25;0,2515;28;76;78;BC1
ROD2207SKF7;2207 ETN9;700;346;81;44;0,03%;31;0,4000;30;84;86;AB1
ROD2207SKF8;2207 ETN9/C3;700;11;7;5;0,00%;7;0,4000;30;84;86;CD1
ROD2208SKF7;2208 ETN9;800;191;67;33;0,02%;27;0,5000;27;94;96;BB1
ROD2208SKF8;2208 ETN9/C3;800;32;16;10;0,00%;11;0,5000;27;94;96;CD1
ROD2209SKF6;2209 ETN9;900;70;47;30;0,01%;20;0,5520;27;94;96;BC1
ROD2209SKF7;2209 ETN9/C3;900;;2;1;0,00%;1;0,5520;27;94;96;CD9
ROD2210SKF6;2210 ETN9;1000;23;14;12;0,00%;9;0,5800;29;104;106;CC1
ROD2211SKF6;2211 ETN9;1100;7;6;4;0,00%;5;0,7960;31;114;116;CD9
ROD2212SKF4;2212 ETN9;1200;33;26;15;0,01%;15;1,0800;33;124;126;CC1
ROD2213SKF5;2213 ETN9;1300;5;6;4;0,00%;4;1,4090;35;134;136;CD9
ROD2213SKF6;2213 ETN9/C3;1300;4;1;1;0,00%;1;1,4190;35;134;136;OO9
ROD2214SKF;2214;1400;21;8;8;0,01%;7;1,5580;35;134;136;CD1
ROD2215SKF3;2215 ETN9;1500;6;1;1;0,00%;1;1,5700;40;144;146;OO9
ROD2215SKF4;2215 ETN9/C3;1500;5;7;6;0,00%;6;1,6100;40;144;146;CD2
ROD2216SKF3;2216 ETN9;1600;4;4;3;0,00%;4;1,9910;40;144;146;CD2
ROD2205SKF5;2205 EKTN9;1700;29;7;5;0,00%;6;0,1475;29;65;67;CD1
ROD2206SKF5;2206 EKTN9;1800;14;9;8;0,00%;7;0,2455;28;76;78;CC1
ROD2207SKF5;2207 EKTN9;1900;53;20;16;0,00%;15;0,3880;30;84;86;CC1
ROD2207SKF6;2207 EKTN9/C3;1900;10;3;3;0,00%;3;0,3880;30;84;86;CD2
ROD2208SKF5;2208 EKTN9;2000;81;36;19;0,01%;19;0,4850;27;94;96;BC1
ROD2208SKF6;2208 EKTN9/C3;2000;2;1;1;0,00%;1;0,4890;27;94;96;CD9
ROD2209SKF4;2209 EKTN9;2100;268;89;38;0,03%;31;0,5360;27;94;96;BB1
ROD2209SKF5;2209 EKTN9/C3;2100;46;29;13;0,01%;15;0,5470;27;94;96;CC1
ROD2210SKF4;2210 EKTN9;2200;80;34;16;0,01%;20;0,5600;29;104;106;BC1
ROD2210SKF5;2210 EKTN9/C3;2200;4;1;1;0,00%;1;0,5660;29;104;106;CD9
ROD2211SKF4;2211 EKTN9;2300;127;58;31;0,02%;28;0,7890;31;114;116;BC1
ROD2211SKF5;2211 EKTN9/C3;2300;10;3;1;0,00%;3;0,7890;31;114;116;CD9
ROD2212SKF2;2212 EKTN9;2400;89;58;13;0,02%;31;1,0660;33;124;126;BC1
ROD2213SKF3;2213 EKTN9;2500;127;71;29;0,03%;27;1,3680;35;134;136;BB1
ROD2213SKF4;2213 EKTN9/C3;2500;27;11;8;0,00%;9;1,3680;35;134;136;CC1
ROD2215SKF;2215 EKTN9;2600;34;17;12;0,01%;13;1,5300;40;144;146;BC1
ROD2215SKF2;2215 EKTN9/C3;2600;9;5;5;0,00%;4;1,5300;40;144;146;CD1
ROD2216SKF;2216 EKTN9;2700;49;25;12;0,01%;17;1,9600;40;144;146;BC1
ROD2217SKF2;2217 K;2800;7;2;2;0,00%;1;2,5240;48;157;161;OO9
ROD2218SKF2;2218 K;2900;7;3;2;0,00%;3;3,2020;47;164;166;CD2
ROD2219SKF;2219 KM;2950;1;1;1;0,00%;1;4,2410;53;177;181;CD9
ROD2220SKF;2220 KM;3000;8;7;2;0,01%;5;5,1100;53;187;191;OO9
ROD2220SKF10;2220 M;3010;2;1;1;0,00%;1;5,2200;53;187;191;CD9
ROD2201SKF;2201 E-2RS1TN9;3090;156;15;8;0,01%;10;0,0584;23;45;47;CD1
ROD2202SKF;2202 E-2RS1TN9;3100;255;30;10;0,01%;15;0,0640;23;45;47;BC1
ROD2203SKF;2203 E-2RS1TN9;3200;50;17;8;0,00%;14;0,0970;23;60;62;CC1
