COD,DESC,CANTIDAD,COMPRO,CLIENTES,MESES,PESO,ANCHO,LARGO,ALTO,CD
ROD2200SKF,2200 E-2RS1TN9,123,9,4,8,0.0515,23,45,47,BC1
ROD2201SKF2,2201 ETN9,35,11,3,8,0.0545,23,45,47,CD2
ROD2202SKF2,2202 ETN9,22,10,5,6,0.0591,23,45,47,CC1
ROD2203SKF2,2203 ETN9,2,2,2,1,0.091,23,60,62,CD2
ROD2204SKF3,2204 ETN9,39,18,7,12,0.136,23,60,62,CD1
ROD2205SKF6,2205 ETN9,67,27,20,17,0.1555,29,65,67,CC1
ROD2205SKF7,2205 ETN9/C3,17,2,2,2,0.1542,29,65,67,CD2
ROD2206SKF6,2206 ETN9,138,44,24,25,0.2515,28,76,78,BC1
ROD2207SKF7,2207 ETN9,346,81,44,31,0.4,30,84,86,AB1
ROD2207SKF8,2207 ETN9/C3,11,7,5,7,0.4,30,84,86,CD1
ROD2208SKF7,2208 ETN9,191,67,33,27,0.5,27,94,96,BB1
ROD2208SKF8,2208 ETN9/C3,32,16,10,11,0.5,27,94,96,CD1
ROD2209SKF6,2209 ETN9,70,47,30,20,0.552,27,94,96,BC1
ROD2209SKF7,2209 ETN9/C3,0,2,1,1,0.552,27,94,96,CD9
ROD2210SKF6,2210 ETN9,23,14,12,9,0.58,29,104,106,CC1
ROD2211SKF6,2211 ETN9,7,6,4,5,0.796,31,114,116,CD9
ROD2212SKF4,2212 ETN9,33,26,15,15,1.08,33,124,126,CC1
ROD2213SKF5,2213 ETN9,5,6,4,4,1.409,35,134,136,CD9
ROD2213SKF6,2213 ETN9/C3,4,1,1,1,1.419,35,134,136,OO9
ROD2214SKF,2214,21,8,8,7,1.558,35,134,136,CD1
ROD2215SKF3,2215 ETN9,6,1,1,1,1.57,40,144,146,OO9
ROD2215SKF4,2215 ETN9/C3,5,7,6,6,1.61,40,144,146,CD2
ROD2216SKF3,2216 ETN9,4,4,3,4,1.991,40,144,146,CD2
ROD2205SKF5,2205 EKTN9,29,7,5,6,0.1475,29,65,67,CD1
